차종코드(표준),판매지역,판매국가,원인부품(5),현상코드,현상명,사용일수,주행거리(km로 환산),특이사항,고장,원인부품숫자
(GD) i30 [A5],북미,캐나다,ARMREST ASSY-CONSOLE,Q57,소음/이음_작동시,112,10187,"[C]THERE IS A WRINKLE ON THE BACK OF THE REAR ARM REST
[R]REPLACED CENTER CONSOLE ARMREST TO CURE
[T]FOUND PLASTIC COVERING SEPARATING FROM ARMREST CAUSING RIPPLING/WRINKLING
",소음 관련,1
(GD) i30 [A5],북미,캐나다,CRASH PAD ASSY-MAIN,Q55,소음/이음_주행중,749,23541,"[C]noises Under the dash
[R]need to r&r dash
[T]need to remove dash see wat is ratteling & fix the probleme NO IMPACT
[L]approx 4..00 hrs is need
[D]Please proceed with up to 4.0HTT . Attach techs punch times as well pls.
[C]noises Under the dash
[R]need to r&r dash
[T]need to remove dash see wat is ratteling & fix the probleme NO IMPACT
[L]approx 4..00 hrs is need
[D]Please proceed with up to 4.0HTT . Attach techs punch times as well pls.
",소음 관련,0
(GD) i30 [A5],북미,캐나다,CRASH PAD ASSY-MAIN,Q55,소음/이음_주행중,211,5492,"[C]CUSTOMER REPORTS CREAK/CRACK WHILE DRIVING FROM DASH WHEN COLD
[R]road tested vehicle. confirmed noise. creaking
coming from LF of dash/A pillar area. removed A pillar
interior trim and trim over instrument cluster. road tested
vehicle without trims to rule out cause. noise still
present. removed instrument cluster and inspected inside of
dash for loose/free moving components. none found. removed
wiper arms and wiper cowling panel. road tested again to
rule out trim components. noise is still present. removed
left and right side covers of dash board. loosened bolts for
dash rebar to body on each side of dash and from inside
engine compartment behind wiper linkage. loosened screws
mounting plastic dash trim to rebar. road tested vehicle
with fasteners loose to allow dash to settle. tightened all
loosened fasteners to secure dash in slightly different
position. road tested again once vehicle cooled down.
overall noise improved greatly
[T]road tested vehicle. confirmed noise. creaking
coming from LF of dash/A pillar area. removed A pillar
interior trim and trim over instrument cluster. road tested
vehicle without trims to rule out cause. noise still
present. removed instrument cluster and inspected inside of
dash for loose/free moving components. none found. removed
wiper arms and wiper cowling panel. road tested again to
rule out trim components. noise is still present. removed
left and right side covers of dash board. loosened 
[C]CUSTOMER REPORTS CREAK/CRACK WHILE DRIVING FROM DASH WHEN COLD
[R]road tested vehicle. confirmed noise. creaking
coming from LF of dash/A pillar area. removed A pillar
interior trim and trim over instrument cluster. road tested
vehicle without trims to rule out cause. noise still
present. removed instrument cluster and inspected inside of
dash for loose/free moving components. none found. removed
wiper arms and wiper cowling panel. road tested again to
rule out trim components. noise is still present. removed
left and right side covers of dash board. loosened bolts for
dash rebar to body on each side of dash and from inside
engine compartment behind wiper linkage. loosened screws
mounting plastic dash trim to rebar. road tested vehicle
with fasteners loose to allow dash to settle. tightened all
loosened fasteners to secure dash in slightly different
posi
[T]road tested vehicle. confirmed noise. creaking
coming from LF of dash/A pillar area. removed A pillar
interior trim and trim over instrument cluster. road tested
vehicle without trims to rule out cause. noise still
present. removed instrument cluster and inspected inside of
dash for loose/free moving components. none found. removed
wiper arms and wiper cowling panel. road tested again to
rule out trim components. noise is still present. removed
left and right side covers of dash board. loosened bolts for
dash rebar to body on each side of dash and from inside
engine compartment behind wiper linkage. loosened screws
mounting plastic dash trim to rebar. road tested vehicle
with fasteners loose to allow dash to settle. tightened all
loosened fasteners to secure dash in slightly different
posi
",소음 관련,0
(GD) i30 [A5],북미,캐나다,COVER ASSY-FR CONSOL,Q55,소음/이음_주행중,166,6705,"[C]CHECK LEFT DASH MOULDING NOT FLUSH
[R]REPLACED LEFT DASH TRIM
[T]LEFT DASH MOULDING NOT SITTING FLUSH AGAINST RADIO
",소음 관련,6
(GD) i30 [A5],북미,캐나다,COVER ASSY-FR CONSOL,Q55,소음/이음_주행중,896,70117,"[C]CUSTOMER REPORTS NOISE COMING FROM LEFT DASH VENT WHEN DRIVING.
[R]REPLACED DASH VENT PIECE.
[T]CONFIRMED, VENT DASH PIECE NOT LINING UP CORRECTLY AND IS LOOSE.
[C]CUSTOMER REPORTS NOISE COMING FROM LEFT DASH VENT WHEN DRIVING.
[R]REPLACED DASH VENT PIECE.
[T]CONFIRMED, VENT DASH PIECE NOT LINING UP CORRECTLY AND IS LOOSE.
",소음 관련,6
(GD) i30 [A5],북미,캐나다,COVER ASSY-FR CONSOL,Q55,소음/이음_주행중,1040,26088,"[C]Grey Trim Around Centre Consol Scratched
[R]replace both crash panel garnishes
[T]paint chipping
",소음 관련,6
(GD) i30 [A5],북미,캐나다,COVER ASSY-FR CONSOL,Q55,소음/이음_주행중,10,493,"[C]DASH VENT HAS A MARK IN IT
[R]REPLACED VENT
[T]FLAW IN MATERIAL
[C]DASH VENT HAS A MARK IN IT
[R]REPLACED VENT
[T]FLAW IN MATERIAL
",소음 관련,6
(YD) K3 [A7],북미,캐나다,HOUSING ASSY-GL/BOX,Q55,소음/이음_주행중,104,5150,"[C]CHECK FOR RATTLE NOISE IN DASH
[R]ADJUST GLOVE BOX TO REPAIR NOISE
[T]FOUND GLOVE BOX NOT IN PLACE PROPER
[C]CHECK FOR RATTLE NOISE IN DASH
[R]ADJUST GLOVE BOX TO REPAIR NOISE
[T]FOUND GLOVE BOX NOT IN PLACE PROPER
",소음 관련,4
(YD) K3 [A7],북미,캐나다,ARMREST ASSY-CONSOLE,Q57,소음/이음_작동시,1329,49202,"[C]RATTLE/SQUEAK NOISE FROM ARMREST AREA.  SO PARTS HERE
[R]REPLACED ARM REST, CONFIRMED ISSUE RESOLVED
[T]CONFIRMED ON PREVIOUS RO, DEFECTIVE ARM REST
",소음 관련,1
(YD) K3 [A7],북미,캐나다,ARMREST ASSY-CONSOLE,Q57,소음/이음_작동시,248,8398,"[C]CONSOLE CENTRAL CRAQUE ENORMEMENT PEC
[R]REMPLACER APPUIE BRAS CENTRAL
[T]APPUIE BRAS CENTRAL CRAQUE
[C]CONSOLE CENTRAL CRAQUE ENORMEMENT PEC
[R]REMPLACER APPUIE BRAS CENTRAL
[T]APPUIE BRAS CENTRAL CRAQUE
",소음 관련,1
