,운전 누적 시간,현재 상태,1-수소공급량,2-수소공급량,1-산소공급량,2-산소공급량,1-버너회전수,2-버너회전수,1-버너속도,2-버너속도,1-핀치횟수,2-핀치횟수,핀치두께-상,핀치두께-중,핀치두께-하,핀치두께2-상,핀치두께2-중,핀치두께2-하,전극간격,채널,전압(1차),전류(1차),역률(1차),전력(1차),온도(1차),전압(2차),전류(2차),역률(2차),전력(2차),온도(2차),강도,"Pinch No.1
정면부 측정 편차","Pinch No.2
정면부 측정 편차","Pinch No.1
측면부 측정 편차","Pinch No.2
측면부 측정 편차"
0,51514,0,93.03,90.372,78.411,87.714,25.250999999999998,21.264,53.16,53.16,3682.659,3680.0009999999997,4.6514999999999995,4.49202,4.55847,4.717949999999999,4.55847,4.63821,444.23154,1.0,497.15232,48.33573,132.38169,31.11189,15.948,640.79064,11.137020000000001,132.86013,4.797689999999999,111.636,551.535,0.0,0.0,0.0,0.0
1,51514,0,93.03,90.372,78.411,87.714,25.250999999999998,21.264,53.16,53.16,3683.988,3681.33,4.66479,4.545179999999999,4.58505,4.55847,4.47873,4.545179999999999,443.76639,2.0,497.15232,48.33573,132.38169,31.11189,15.948,659.0378099999999,10.990829999999999,132.80697,4.8774299999999995,111.636,598.05,0.0,0.0,0.0,0.0
2,51514,0,93.03,90.372,78.411,87.714,25.250999999999998,21.264,53.16,53.16,3863.403,3860.745,4.73124,4.6249199999999995,4.61163,4.55847,4.545179999999999,4.49202,440.47047,1.0,507.70457999999996,47.68452,132.32853,31.29795,15.948,649.98732,11.20347,132.78038999999998,4.89072,120.939,571.47,0.0,0.0,0.0,0.0
3,51514,0,93.03,90.372,78.411,87.714,25.250999999999998,21.264,53.16,53.16,3864.732,3862.074,4.744529999999999,4.58505,4.61163,4.53189,4.545179999999999,4.49202,444.00560999999993,2.0,507.70457999999996,47.68452,132.32853,31.29795,15.948,654.95778,11.05728,132.68736,4.86414,120.939,591.405,0.0,0.0,0.0,0.0
4,50297,0,93.03,90.372,78.411,87.714,25.250999999999998,21.264,53.16,53.16,252.51,252.51,4.717949999999999,4.67808,4.6514999999999995,4.67808,4.73124,4.6514999999999995,443.15504999999996,5.0,501.31208999999996,47.657939999999996,132.16905,30.8328,17.277,642.29241,11.26992,132.78038999999998,4.83756,108.978,582.102,0.0,0.0,0.0,0.0
5,12111,1,93.03,90.372,78.411,87.714,25.250999999999998,21.264,53.16,53.16,253.839,253.839,4.717949999999999,4.34583,4.63821,4.744529999999999,5.24955,4.75782,444.27141,6.0,501.31208999999996,47.657939999999996,132.16905,30.8328,17.277,642.5715,11.2965,132.79368,4.850849999999999,108.978,612.669,0.0,0.0,0.0,0.0
6,38186,0,93.03,90.372,78.411,87.714,25.250999999999998,21.264,53.16,53.16,255.168,255.168,4.717949999999999,4.83756,4.66479,4.73124,4.86414,4.73124,442.25132999999994,1.0,506.46860999999996,47.312400000000004,132.12918,30.925829999999998,17.277,641.01657,11.28321,132.66078,4.83756,111.636,546.2189999999999,0.0,0.0,0.0,0.0
7,50395,0,93.03,90.372,78.411,87.714,25.250999999999998,21.264,53.16,53.16,636.591,636.591,4.771109999999999,4.33254,4.61163,4.63821,4.6514999999999995,4.545179999999999,442.88925,1.0,511.89093,46.99344,131.98299,31.01886,17.277,642.74427,11.40282,132.51459,4.8774299999999995,91.701,564.8249999999999,0.0,0.0,0.0,0.0
8,34495,1,93.03,90.372,78.411,87.714,25.250999999999998,21.264,53.16,53.16,637.92,637.92,4.70466,4.53189,4.545179999999999,4.63821,4.70466,4.53189,444.53721,2.0,511.89093,46.99344,131.98299,31.01886,17.277,633.97287,11.26992,132.34181999999998,4.744529999999999,91.701,578.115,0.0,0.0,0.0,0.0
9,17575,0,93.03,90.372,78.411,87.714,25.250999999999998,21.264,53.16,53.16,639.249,639.249,4.89072,4.45215,4.75782,4.824269999999999,4.83756,4.73124,444.93591000000004,3.0,511.89093,46.99344,131.98299,31.01886,17.277,647.52867,11.230049999999999,132.30195,4.850849999999999,91.701,538.245,0.0,0.0,0.0,0.0
10,51514,0,97.017,97.017,78.411,87.714,25.250999999999998,22.593,53.16,53.16,54.489,58.476,4.744529999999999,4.83756,4.6249199999999995,4.61163,4.67808,4.5186,442.49055,1.0,509.41899,47.24594999999999,132.14247,31.05873,15.948,644.5915799999999,11.336369999999999,132.6342,4.8774299999999995,108.978,542.232,0.0,0.0,0.0,0.0
11,51514,0,97.017,97.017,78.411,87.714,25.250999999999998,22.593,53.16,53.16,55.818,59.805,4.691369999999999,4.34583,4.545179999999999,4.61163,4.86414,4.53189,443.43414,2.0,509.41899,47.24594999999999,132.14247,31.05873,15.948,643.07652,11.19018,132.5013,4.797689999999999,108.978,555.5219999999999,0.0,0.0,0.0,0.0
12,47965,0,98.346,98.346,79.74,89.04299999999999,25.250999999999998,22.593,53.16,53.16,745.569,749.5559999999999,4.8774299999999995,4.58505,4.824269999999999,4.691369999999999,4.1996400000000005,4.61163,442.62345,1.0,515.89122,46.966860000000004,132.1026,31.25808,15.948,647.12997,11.32308,132.60762,4.9040099999999995,101.00399999999999,546.2189999999999,0.0,0.0,0.0,0.0
13,28577,1,98.346,98.346,79.74,89.04299999999999,25.250999999999998,22.593,53.16,53.16,746.898,750.885,4.89072,4.50531,4.797689999999999,4.797689999999999,4.89072,4.771109999999999,443.76639,2.0,515.89122,46.966860000000004,132.1026,31.25808,15.948,647.9007899999999,11.17689,132.43485,4.83756,101.00399999999999,562.167,0.0,0.0,0.0,0.0
14,19388,0,98.346,98.346,79.74,89.04299999999999,25.250999999999998,22.593,53.16,53.16,748.227,752.2139999999999,4.73124,4.97046,4.6514999999999995,4.717949999999999,4.89072,4.691369999999999,444.24483,3.0,515.89122,46.966860000000004,132.1026,31.25808,15.948,649.36269,11.230049999999999,132.20892,4.86414,101.00399999999999,519.639,0.0,0.0,0.0,0.0
